candidate_id,first_name,last_name,email,status
30000001,Anan,Chaiyaporn,anan@gmail.com,studying
30000002,Busaba,Wongchai,busaba@gmail.com,graduated
30000003,Chatchai,Phanich,chatchai@gmail.com,studying
30000004,Daran,Thavorn,daran@gmail.com,graduated
30000005,Ekachai,Kittipong,ekachai@gmail.com,studying
30000006,Fah,Siriporn,fah@gmail.com,graduated
30000007,Kanok,Rattanakorn,kanok@gmail.com,studying
30000008,Lalana,Pinit,lalana@gmail.com,studying
30000009,Montri,Phasuk,montri@gmail.com,graduated
30000010,Napatsorn,Keerat,napa@gmail.com,studying
